"No.","Time","Source","Destination","Protocol","Length","Info"
"654","26.967492000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=288170 Win=382464 Len=0 TSval=282773 TSecr=282610"
"655","26.986838000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"656","26.991683000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=291066 Win=382464 Len=0 TSval=282779 TSecr=282616"
"657","27.011079000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"658","27.016692000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=293962 Win=382464 Len=0 TSval=282785 TSecr=282622"
"659","27.035388000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"660","27.041302000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=296858 Win=382464 Len=0 TSval=282791 TSecr=282629"
"661","27.059877000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"662","27.064742000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=299754 Win=382464 Len=0 TSval=282797 TSecr=282631"
"663","27.083843000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"664","27.088731000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=302650 Win=382464 Len=0 TSval=282803 TSecr=282637"
"665","27.108177000","10.0.0.1","10.0.0.2","TCP","1514","[TCP segment of a reassembled PDU]"
"666","27.114036000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=305546 Win=382464 Len=0 TSval=282809 TSecr=282643"
"667","27.120869000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"668","27.137460000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=308442 Win=382464 Len=0 TSval=282815 TSecr=282650"
"669","27.144474000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"670","27.162418000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=311338 Win=382464 Len=0 TSval=282821 TSecr=282655"
"671","27.169096000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"672","27.186559000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=314234 Win=382464 Len=0 TSval=282827 TSecr=282661"
"673","27.193199000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"674","27.210530000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=317130 Win=382464 Len=0 TSval=282833 TSecr=282668"
"675","27.217099000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"676","27.234345000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=320026 Win=382464 Len=0 TSval=282839 TSecr=282674"
"677","27.241815000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"678","27.265435000","10.0.0.1","10.0.0.2","TCP","2962","[TCP segment of a reassembled PDU]"
"679","27.271885000","10.0.0.2","10.0.0.1","TCP","66","34520 > irdmi [ACK] Seq=449 Ack=324370 Win=382464 Len=0 TSval=282849 TSecr=282677"
